"No.","Time","Source","Destination","Protocol","Length","Info"
"1387","1.303483","192.168.0.13","52.71.251.84","TCP","66","[TCP Window Update] 62388  >  5201 [ACK] Seq=38 Ack=1130889 Win=131072 Len=0 TSval=2935394712 TSecr=254570962"
"1388","1.307205","52.71.251.84","192.168.0.13","TCP","1514","5201  >  62388 [ACK] Seq=1130889 Ack=38 Win=26880 Len=1448 TSval=254570968 TSecr=2935394696"
"1389","1.307210","52.71.251.84","192.168.0.13","TCP","1514","5201  >  62388 [ACK] Seq=1132337 Ack=38 Win=26880 Len=1448 TSval=254570968 TSecr=2935394696"
"1390","1.307212","52.71.251.84","192.168.0.13","TCP","1514","5201  >  62388 [ACK] Seq=1133785 Ack=38 Win=26880 Len=1448 TSval=254570968 TSecr=2935394696"
"1391","1.307215","52.71.251.84","192.168.0.13","TCP","1514","5201  >  62388 [ACK] Seq=1135233 Ack=38 Win=26880 Len=1448 TSval=254570968 TSecr=2935394696"
"1392","1.307260","192.168.0.13","52.71.251.84","TCP","66","62388  >  5201 [ACK] Seq=38 Ack=1133785 Win=128160 Len=0 TSval=2935394715 TSecr=254570968"
"1393","1.307268","192.168.0.13","52.71.251.84","TCP","66","[TCP Window Update] 62388  >  5201 [ACK] Seq=38 Ack=1133785 Win=131072 Len=0 TSval=2935394715 TSecr=254570968"
"1394","1.307276","192.168.0.13","52.71.251.84","TCP","66","62388  >  5201 [ACK] Seq=38 Ack=1136681 Win=128160 Len=0 TSval=2935394715 TSecr=254570968"
"1395","1.307295","192.168.0.13","52.71.251.84","TCP","66","[TCP Window Update] 62388  >  5201 [ACK] Seq=38 Ack=1136681 Win=131072 Len=0 TSval=2935394715 TSecr=254570968"
"1396","1.308902","52.71.251.84","192.168.0.13","TCP","1514","5201  >  62388 [ACK] Seq=1136681 Ack=38 Win=26880 Len=1448 TSval=254570968 TSecr=2935394696"
"1397","1.308906","52.71.251.84","192.168.0.13","TCP","1514","5201  >  62388 [ACK] Seq=1138129 Ack=38 Win=26880 Len=1448 TSval=254570968 TSecr=2935394696"
"1398","1.308908","52.71.251.84","192.168.0.13","TCP","1514","5201  >  62388 [ACK] Seq=1139577 Ack=38 Win=26880 Len=1448 TSval=254570968 TSecr=2935394696"
"1399","1.308949","192.168.0.13","52.71.251.84","TCP","66","62388  >  5201 [ACK] Seq=38 Ack=1139577 Win=128160 Len=0 TSval=2935394716 TSecr=254570968"
"1400","1.308976","192.168.0.13","52.71.251.84","TCP","66","62388  >  5201 [ACK] Seq=38 Ack=1141025 Win=131072 Len=0 TSval=2935394716 TSecr=254570968"
"1401","1.322823","52.71.251.84","192.168.0.13","TCP","1514","5201  >  62388 [ACK] Seq=1141025 Ack=38 Win=26880 Len=1448 TSval=254570984 TSecr=2935394712"
"1402","1.322827","52.71.251.84","192.168.0.13","TCP","1514","5201  >  62388 [ACK] Seq=1142473 Ack=38 Win=26880 Len=1448 TSval=254570984 TSecr=2935394712"
"1403","1.322829","52.71.251.84","192.168.0.13","TCP","1514","5201  >  62388 [ACK] Seq=1143921 Ack=38 Win=26880 Len=1448 TSval=254570984 TSecr=2935394712"
"1404","1.322874","192.168.0.13","52.71.251.84","TCP","66","62388  >  5201 [ACK] Seq=38 Ack=1143921 Win=128160 Len=0 TSval=2935394729 TSecr=254570984"
"1405","1.322890","192.168.0.13","52.71.251.84","TCP","66","[TCP Window Update] 62388  >  5201 [ACK] Seq=38 Ack=1143921 Win=131072 Len=0 TSval=2935394729 TSecr=254570984"
"1406","1.322986","52.71.251.84","192.168.0.13","TCP","1514","5201  >  62388 [ACK] Seq=1145369 Ack=38 Win=26880 Len=1448 TSval=254570984 TSecr=2935394712"
